Mono model,Multi model,Region,Pearson r,p (parametric),p (permutation),Spearman ρ,N items
roberta,xlmr,region2_resid,0.319,0.075,0.076,0.29,32
roberta,xlmr,region3_resid,0.265,0.143,0.142,0.266,32
bert,mbert,region2_resid,-0.103,0.576,0.574,-0.129,32
bert,mbert,region3_resid,0.209,0.251,0.243,0.127,32
distilbert,distilmbert,region2_resid,0.127,0.488,0.477,0.164,32
distilbert,distilmbert,region3_resid,-0.007,0.968,0.965,0.06,32
roberta,xlmr-large,region2_resid,0.174,0.341,0.34,0.106,32
roberta,xlmr-large,region3_resid,0.296,0.1,0.103,0.339,32
gpt2,mgpt,region2_resid,-0.064,0.729,0.731,-0.197,32
gpt2,mgpt,region3_resid,0.491,0.004,0.005,0.422,32
gpt2,croissantllm,region2_resid,0.236,0.193,0.199,0.188,32
gpt2,croissantllm,region3_resid,0.284,0.115,0.119,0.305,32
opt-125m,bloom-560m,region2_resid,-0.25,0.168,0.167,-0.208,32
opt-125m,bloom-560m,region3_resid,0.236,0.193,0.193,0.24,32
pythia-160m,bloom-560m,region2_resid,-0.367,0.039,0.041,-0.468,32
pythia-160m,bloom-560m,region3_resid,0.306,0.088,0.092,0.263,32
