Mono model,Multi model,Region,t,p (two-tail),p (one-tail),Mean diff,Mean mono Δ,Mean multi Δ,N items
roberta,xlmr,region2,11.839,0.0,0.0,3.81,6.52,2.71,212
roberta,xlmr,region3,6.605,0.0,0.0,0.718,0.923,0.204,212
bert,mbert,region2,5.508,0.0,0.0,1.567,4.547,2.98,212
bert,mbert,region3,2.573,0.011,0.005,0.369,0.899,0.529,212
distilbert,distilmbert,region2,6.459,0.0,0.0,1.851,3.957,2.106,212
distilbert,distilmbert,region3,-0.518,0.605,0.697,-0.068,1.381,1.449,212
roberta,xlmr-large,region2,9.475,0.0,0.0,3.049,6.52,3.47,212
roberta,xlmr-large,region3,6.371,0.0,0.0,0.641,0.923,0.282,212
gpt2,mgpt,region2,0.307,0.759,0.38,0.058,2.864,2.806,212
gpt2,mgpt,region3,12.556,0.0,0.0,1.569,3.11,1.541,212
gpt2,croissantllm,region2,-3.413,0.001,1.0,-0.561,2.864,3.424,212
gpt2,croissantllm,region3,6.917,0.0,0.0,0.933,3.11,2.176,212
opt-125m,bloom-560m,region2,1.331,0.185,0.092,0.209,3.157,2.948,212
opt-125m,bloom-560m,region3,11.043,0.0,0.0,1.299,3.14,1.841,212
pythia-160m,bloom-560m,region2,-0.502,0.616,0.692,-0.073,2.875,2.948,212
pythia-160m,bloom-560m,region3,9.376,0.0,0.0,1.106,2.946,1.841,212
