item_no,condition,advTYPE,model,surprisal_region2,surprisal_region3,surprisal_critical_token
33,EN_Word_order,frequency,gpt2,11.431390285491943,8.777831315994263,4.912744998931885
33,FR_Word_order,frequency,gpt2,15.67664384841919,12.3319091796875,8.07539176940918
34,EN_Word_order,frequency,gpt2,13.850478288368322,17.991753101348877,8.096711158752441
34,FR_Word_order,frequency,gpt2,19.82638979711919,17.76486825942993,9.337627410888672
35,EN_Word_order,frequency,gpt2,8.324573576450348,5.662828326225281,7.508233547210693
35,FR_Word_order,frequency,gpt2,13.662700176239014,9.643136978149414,9.913301467895508
36,EN_Word_order,frequency,gpt2,14.815808296203613,14.954889059066772,8.394632339477539
36,FR_Word_order,frequency,gpt2,18.407493591308594,17.272417545318604,8.019048690795898
37,EN_Word_order,frequency,gpt2,10.920633554458618,8.072056293487549,7.572351455688477
37,FR_Word_order,frequency,gpt2,14.990002632141113,13.60271954536438,7.057253837585449
38,EN_Word_order,frequency,gpt2,14.153220653533936,11.622697353363037,7.7033538818359375
38,FR_Word_order,frequency,gpt2,20.99226474761963,12.988331913948059,12.201210975646973
39,EN_Word_order,frequency,gpt2,9.80367112159729,8.410399913787842,7.75298547744751
39,FR_Word_order,frequency,gpt2,12.859214305877686,12.671703577041626,8.687840461730957
40,EN_Word_order,frequency,gpt2,11.7212815284729,8.596685409545898,7.345312595367432
40,FR_Word_order,frequency,gpt2,16.84824228286743,9.536433219909668,9.88812255859375
41,EN_Word_order,frequency,gpt2,9.266499996185303,9.742339015007019,5.326977252960205
41,FR_Word_order,frequency,gpt2,14.61975908279419,10.957557201385498,9.991924285888672
42,EN_Word_order,frequency,gpt2,10.484084129333496,9.420664638280869,5.6544342041015625
42,FR_Word_order,frequency,gpt2,18.107151985168457,3.1852874755859375,12.47973346710205
43,EN_Word_order,manner,gpt2,12.626153945922852,5.703522138297558,8.092561721801758
43,FR_Word_order,manner,gpt2,17.98051166534424,10.804309129714966,11.34888744354248
44,EN_Word_order,manner,gpt2,11.241686820983887,10.62378454208374,6.357357978820801
44,FR_Word_order,manner,gpt2,19.34517002105713,11.640379190444946,13.72922134399414
45,EN_Word_order,manner,gpt2,9.831376314163208,13.725207805633545,7.107019424438477
45,FR_Word_order,manner,gpt2,17.299193382263184,16.43551254272461,10.099575996398926
46,EN_Word_order,manner,gpt2,15.488455772399902,4.776662111282349,8.679752349853516
46,FR_Word_order,manner,gpt2,18.69216823577881,4.712219953536987,9.39625072479248
47,EN_Word_order,manner,gpt2,15.573610609397292,17.72589236497879,8.755093574523926
47,FR_Word_order,manner,gpt2,24.667122153565288,22.17210340499878,13.122649192810059
48,EN_Word_order,manner,gpt2,15.127878904342651,4.850249886512756,12.327383041381836
48,FR_Word_order,manner,gpt2,17.728869438171387,8.681668281555176,9.4473237991333
49,EN_Word_order,manner,gpt2,11.594804286956787,14.010521173477173,7.895026206970215
49,FR_Word_order,manner,gpt2,14.261478424072266,15.49347972869873,7.4830827713012695
50,EN_Word_order,manner,gpt2,13.782392978668213,15.465388417243958,10.8153715133667
50,FR_Word_order,manner,gpt2,21.010265350341797,17.228387594223022,11.153512001037598
51,EN_Word_order,manner,gpt2,15.375040054321289,9.44988214969635,9.919516563415527
51,FR_Word_order,manner,gpt2,16.17164182662964,13.496596336364746,7.964527606964111
52,EN_Word_order,manner,gpt2,15.5344398021698,9.560880541801453,12.15739631652832
52,FR_Word_order,manner,gpt2,20.284954071044922,10.058579325675964,10.428812026977539
53,EN_Word_order,manner,gpt2,13.722999095916748,10.930566668510437,9.54072380065918
53,FR_Word_order,manner,gpt2,17.622392654418945,11.616870880126953,7.048488616943359
