item_no,condition,advTYPE,model,surprisal_region2,surprisal_region3,surprisal_critical_token
33,EN_Word_order,frequency,pythia-160m,11.96051025390625,7.492210149765015,5.394598960876465
33,FR_Word_order,frequency,pythia-160m,16.279866218566895,9.199529826641083,9.18415641784668
34,EN_Word_order,frequency,pythia-160m,14.913608804345131,15.31240963935852,8.131637573242188
34,FR_Word_order,frequency,pythia-160m,20.65612091869116,16.429399490356445,9.595428466796875
35,EN_Word_order,frequency,pythia-160m,10.015909910202026,6.593614965677261,7.555713653564453
35,FR_Word_order,frequency,pythia-160m,14.06924819946289,8.335839629173279,8.352951049804688
36,EN_Word_order,frequency,pythia-160m,13.394598007202148,14.644777655601501,8.412630081176758
36,FR_Word_order,frequency,pythia-160m,20.276555061340332,17.41874647140503,9.864474296569824
37,EN_Word_order,frequency,pythia-160m,11.719376564025879,9.647987365722656,8.656922340393066
37,FR_Word_order,frequency,pythia-160m,14.934595108032227,14.900161504745483,6.41750431060791
38,EN_Word_order,frequency,pythia-160m,15.017908096313477,10.638837456703186,8.679956436157227
38,FR_Word_order,frequency,pythia-160m,19.621200561523438,14.016730308532715,10.493062973022461
39,EN_Word_order,frequency,pythia-160m,9.803773641586304,8.731386661529541,7.956679821014404
39,FR_Word_order,frequency,pythia-160m,13.924275875091553,14.598015069961548,9.445013046264648
40,EN_Word_order,frequency,pythia-160m,11.150978565216064,9.35183334350586,7.038828372955322
40,FR_Word_order,frequency,pythia-160m,17.518402576446533,10.78389310836792,10.581747055053711
41,EN_Word_order,frequency,pythia-160m,9.785457611083984,10.180097676813602,5.390349388122559
41,FR_Word_order,frequency,pythia-160m,14.808621406555176,10.415711298584938,9.298215866088867
42,EN_Word_order,frequency,pythia-160m,9.42774772644043,9.55520835518837,5.021552085876465
42,FR_Word_order,frequency,pythia-160m,17.285940170288086,6.129447340965271,11.280745506286621
43,EN_Word_order,manner,pythia-160m,12.724130868911743,4.106609709560871,9.110459327697754
43,FR_Word_order,manner,pythia-160m,19.086892127990723,9.00323260948062,11.265800476074219
