item_no,condition,advTYPE,model,surprisal_region2,surprisal_region3,surprisal_critical_token,surprisal_region2_PLL_word_l2r,surprisal_region3_PLL_word_l2r,surprisal_critical_token_PLL_word_l2r
33,EN_Word_order,frequency,xlmr,1.5772633904125541,7.226405680179596,1.400653600692749,3.5772994661238045,7.226405680179596,1.400653600692749
33,FR_Word_order,frequency,xlmr,7.78317205797066,6.262036204338074,7.398095607757568,8.500023202999728,6.262036204338074,7.398095607757568
34,EN_Word_order,frequency,xlmr,3.223071282149249,7.8297566175460815,3.1572959423065186,10.690368566662073,7.8297566175460815,3.1572959423065186
34,FR_Word_order,frequency,xlmr,4.656718496145913,7.651123121380806,4.581568717956543,14.096832171082497,7.651123121380806,4.581568717956543
35,EN_Word_order,frequency,xlmr,0.6701667591987643,1.6193681694567204,0.6653902864491101,11.424859963270137,1.6193681694567204,4.806160542968428
35,FR_Word_order,frequency,xlmr,3.391081754816696,1.5245657376945019,3.3834965471178293,14.847450150409713,1.5245657376945019,8.514439368620515
36,EN_Word_order,frequency,xlmr,3.655376674141735,4.775854134528345,2.7469229698181152,4.672679068055004,11.194962012115866,2.7469229698181152
36,FR_Word_order,frequency,xlmr,7.412405301583931,5.422883226092381,6.014608383178711,8.180275846971199,11.823585712350905,6.014608383178711
37,EN_Word_order,frequency,xlmr,1.2198937678913353,3.66380912065506,1.0620784759521484,2.9298691595176933,3.66380912065506,1.0620784759521484
37,FR_Word_order,frequency,xlmr,1.6696655690539046,3.357903003692627,1.4840831756591797,2.2467768728602096,3.357903003692627,1.4840831756591797
38,EN_Word_order,frequency,xlmr,0.6761853757780045,3.9096838124096394,0.003417010186240077,4.670969469472766,3.9096838124096394,3.088029535487294
38,FR_Word_order,frequency,xlmr,0.9601568896323442,3.5471757017076015,0.31676688976585865,10.743071973323822,3.5471757017076015,8.802945613861084
39,EN_Word_order,frequency,xlmr,1.955803237739019,2.270166501402855,1.952083945274353,2.0559575197985396,2.270166501402855,1.952083945274353
